Scouter_Initials	Match_Number	Robot	Team_Number	Human_Player_at_Amp	No_Show	Amp_Scored	Amp_Missed	Speaker_Scored	Speaker_Missed	Can_Do_Ground_Pickup?	Amp_Scored	Amp_Missed	Speaker_Scored	Speaker_Missed	Note_in_Trap?	Died	Tipped_Over	Comments
RS	1	R1	88	false	false	3	1	1	1	true	1	1	1	1	1	false	false	Yay!
RS	1	R2	6153	false	true	0	0	0	0	0	0	0	0	0	0	false	false	undefined
RS	1	R3	811	true	false	1	1	1	1	0	1	0	1	1	1	false	false	undefined
RS	1	B1	238	false	false	0	0	0	0	0	0	0	0	0	0	false	true	undefined
RS	1	B1	2423	false	false	2	1	0	0	0	10	0	0	0	0	false	true	undefined
RS	1	B2	3117	false	false	0	0	2	1	0	0	0	4	1	0	false	true	undefined
RS	1	B2	58	true	false	0	2	2	1	0	0	2	3	1	0	false	true	undefined
RS	1	B2	58	true	false	0	2	1	1	0	0	3	4	2	0	false	true	undefined
RS	1	B2	78	true	false	0	0	0	0	0	0	0	0	0	0	true	false	undefined
RS	1	B2	78	true	false	0	3	0	2	0	0	2	0	2	0	false	false	undefined
RS	1	R3	88	true	false	0	0	2	0	0	0	0	2	0	0	false	false	undefined
RS	1	B1	131	true	false	0	0	2	0	0	0	0	4	0	0	false	false	undefined
RS	1	B1	131	true	false	0	0	3	0	0	0	0	4	0	0	false	false	undefined
RS	1	B1	157	true	false	0	0	2	0	0	0	0	2	1	0	false	false	undefined
RS	1	B1	157	true	false	0	0	4	0	0	0	0	6	1	0	false	false	undefined
RS	1	B1	166	true	false	0	0	3	0	0	0	0	8	1	0	false	false	undefined
RS	1	B1	166	true	false	0	0	2	1	0	0	0	3	2	0	false	false	undefined
RS	1	B2	238	true	false	0	0	3	1	0	0	0	1	3	0	false	false	undefined
RS	1	B2	238	true	false	0	0	2	2	0	0	0	1	3	0	false	false	undefined
RS	1	R1	316	false	false	3	1	1	1	true	1	1	1	1	1	false	false	Yay!
RS	1	R2	501	false	true	0	0	0	0	0	0	0	0	0	0	false	false	undefined
RS	1	R3	509	true	false	1	1	1	1	0	1	0	1	1	1	false	false	undefined
RS	1	B1	811	false	false	0	0	0	0	0	0	0	0	0	0	false	true	undefined
RS	1	B1	1058	false	false	2	1	0	0	0	10	0	0	0	0	false	true	undefined
RS	1	B2	316	false	false	0	0	2	1	0	0	0	4	1	0	false	true	undefined
RS	1	B2	501	true	false	0	2	2	1	0	0	2	3	1	0	false	true	undefined
RS	1	B2	509	true	false	0	2	1	1	0	0	3	4	2	0	false	true	undefined
RS	1	B2	811	true	false	0	0	0	0	0	0	0	0	0	0	true	false	undefined
RS	1	B2	1058	true	false	0	3	0	2	0	0	2	0	2	0	false	false	undefined
RS	1	R3	1153	true	false	0	0	2	0	0	0	0	2	0	0	false	false	undefined
RS	1	B1	1153	true	false	0	0	2	0	0	0	0	4	0	0	false	false	undefined
RS	1	B1	1768	true	false	0	0	3	0	0	0	0	4	0	0	false	false	undefined
RS	1	B1	1768	true	false	0	0	2	0	0	0	0	2	1	0	false	false	undefined
RS	1	B1	2084	true	false	0	0	4	0	0	0	0	6	1	0	false	false	undefined
RS	1	B1	2084	true	false	0	0	3	0	0	0	0	8	1	0	false	false	undefined
RS	1	B1	2342	true	false	0	0	2	1	0	0	0	3	2	0	false	false	undefined
RS	1	B2	2370	true	false	0	0	3	1	0	0	0	1	3	0	false	false	undefined
RS	1	B2	2370	true	false	0	0	2	2	0	0	0	1	3	0	false	false	undefined
RS	1	R1	2423	false	false	3	1	1	1	true	1	1	1	1	1	false	false	Yay!
RS	1	R2	2423	false	true	0	0	0	0	0	0	0	0	0	0	false	false	undefined
RS	1	R3	2713	true	false	1	1	1	1	0	1	0	1	1	1	false	false	undefined
RS	1	B1	2713	false	false	0	0	0	0	0	0	0	0	0	0	false	true	undefined
RS	1	B1	3117	false	false	2	1	0	0	0	10	0	0	0	0	false	true	undefined
RS	1	B2	3117	false	false	0	0	2	1	0	0	0	4	1	0	false	true	undefined
RS	1	B2	3467	true	false	0	2	2	1	0	0	2	3	1	0	false	true	undefined
RS	1	B2	3467	true	false	0	2	1	1	0	0	3	4	2	0	false	true	undefined
RS	1	B2	4041	true	false	0	0	0	0	0	0	0	0	0	0	true	false	undefined
RS	1	B2	4041	true	false	0	3	0	2	0	0	2	0	2	0	false	false	undefined
RS	1	R3	4761	true	false	0	0	2	0	0	0	0	2	0	0	false	false	undefined
RS	1	B1	4761	true	false	0	0	2	0	0	0	0	4	0	0	false	false	undefined
RS	1	B1	4909	true	false	0	0	3	0	0	0	0	4	0	0	false	false	undefined
RS	1	B1	4909	true	false	0	0	2	0	0	0	0	2	1	0	false	false	undefined
RS	1	B1	5422	true	false	0	0	4	0	0	0	0	6	1	0	false	false	undefined
RS	1	B1	5422	true	false	0	0	3	0	0	0	0	8	1	0	false	false	undefined
RS	1	B1	5459	true	false	0	0	2	1	0	0	0	3	2	0	false	false	undefined
RS	1	B2	5459	true	false	0	0	3	1	0	0	0	1	3	0	false	false	undefined
RS	1	B2	5687	true	false	0	0	2	2	0	0	0	1	3	0	false	false	undefined
RS	1	R1	5687	false	false	3	1	1	1	true	1	1	1	1	1	false	false	Yay!
RS	1	R2	5813	false	true	0	0	0	0	0	0	0	0	0	0	false	false	undefined
RS	1	R3	6153	true	false	1	1	1	1	0	1	0	1	1	1	false	false	undefined
RS	1	B1	6154	false	false	0	0	0	0	0	0	0	0	0	0	false	true	undefined
RS	1	B1	8567	false	false	2	1	0	0	0	10	0	0	0	0	false	true	undefined
RS	1	B2	8567	false	false	0	0	2	1	0	0	0	4	1	0	false	true	undefined
RS	1	B2	9101	true	false	0	2	2	1	0	0	2	3	1	0	false	true	undefined
RS	1	B2	9101	true	false	0	2	1	1	0	0	3	4	2	0	false	true	undefined
RS	1	B2	9443	true	false	0	0	0	0	0	0	0	0	0	0	true	false	undefined
RS	1	B2	9443	true	false	0	3	0	2	0	0	2	0	2	0	false	false	undefined
